id_num,date,time,morn_aft,run_time,run_type,instructor,miles,kcal,mile_time,avg_speed,strive_score,avg_bpm
1,11/1/2022,9:00,Morning,30,Walk + Run,Jess Sims,2.41,272,11:21,5.3,36,149
2,10/27/2022,10:00,Morning,20,Music,Matty Maggiacomo,1.99,228,9:45,6.2,39.4,170
3,10/25/2022,8:45,Morning ,30,Walk + Run ,Matty Maggiacomo,2.54,264,11:00,5.5,37.4,147
4,10/20/2022,9:15,Morning,30,Music,Rebecca Kennedy,2.75,316,10:07,5.9,52.5,162
5,10/18/2022,5:45,Afternoon,30,Music,Olivia Amato ,3.16,340,9:17,6.5,60,168
6,10/17/2022,6:00,Afternoon,20,HIIT,Robin Arzon ,1.98,219,9:36,6.3,36.1,165
7,10/15/2022,5:30,Afternoon,30,Music,Robin Arzon ,3.12,341,9:22,6.4,57.9,170
8,10/13/2022,11:00,Morning,30,Theme,Matty Maggiacomo,2.96,339,9:54,6.1,56,168
9,10/11/2022,6:00,Afternoon,30,Music,Jess Sims,3.01,349,9:40,6.2,59.4,172
10,10/10/2022,5:45,Afternoon,30,Theme,Robin Arzon ,2.94,337,9:51,6.1,57.6,166
11,10/8/2022,4:30,Afternoon,45,Music,Robin Arzon ,4.02,495,10:46,5.6,80.6,166
12,10/7/2022,9:45,Morning,20,HIIT,Robin Arzon ,1.77,207,9:47,6.1,30.8,159
13,10/4/2022,9:00,Morning,30,Music,Robin Arzon ,2.93,335,10:04,6,56,167
14,10/3/2022,5:45,Afternoon,30,Music,Matty Maggiacomo,2.92,338,10:10,5.9,59.4,168
15,9/30/2022,9:00,Morning,30,Theme,Olivia Amato,2.68,332,10:45,5.6,55.7,167
16,9/28/2022,8:45,Morning,30,Walk + Run ,Rebecca Kennedy,2.24,254,11:29,5.2,27.9,144
17,9/27/2022,6:45,Afternoon,30,Music,Jess Sims,2.93,330,9:55,6,57,166
18,9/25/2022,12:30,Afternoon,30,Music,Selena Samuela,2.79,336,10:22,5.8,56.9,167
19,9/23/2022,8:45,Morning ,30,Music,Jess Sims,2.69,312,10:15,5.8,47.1,159
20,9/21/2022,9:00,Morning,30,Endurance,Matt Wilpers,2.72,329,11:18,5.3,53.9,165
21,9/20/2022,9:00,Morning,20,HIIT,Robin Arzon,1.38,197,11:37,5.2,24.1,159
22,9/18/2022,6:00,Afternoon,20,Music,Matty Maggiacomo,1.93,218,10:53,5.5,35.6,165
23,9/16/2022,9:00,Morning ,20,Music,Robin Arzon,1.79,174,11:21,5.3,21.9,146
24,9/15/2022,10:15,Morning,15,Walk + Run ,Jess Sims,0.61,85,14:25,4.2,12.1,179
25,9/15/2022,9:45,Morning,20,HIIT,Robin Arzon,1.5,207,10:58,5.5,27.7,163
26,9/13/2022,8:45,Morning,30,Intervals,Robin Arzon,2.25,299,10:42,5.6,47,169
27,9/12/2022,6:00,Afternoon,30,Music,Matty Maggiacomo,2.76,315,11:45,5.1,49.6,162
28,9/8/2022,10:00,Morning,30,Music,Kristen Ferguson,2.59,296,11:28,5.2,44.9,156
29,9/5/2022,8:30,Morning,30,Music,Jess Sims,2.45,3.31,12:14,4.9,55.6,166
30,9/3/2022,11:15,Morning,20,HIIT,Robin Arzon,1.6,239,12:07,5,40.7,175
31,9/3/2022,11:00,Morning,20,Music,Olivia Amato,1.62,170,12:21,4.9,20,144
32,9/1/2022,4:30,Afternoon,30,HIIT,Robin Arzon,2.65,347,11:14,5.3,58.5,171
33,8/19/2022,10:15,Morning ,30,Music,Olivia Amato ,2.42,294,12:13,4.9,40.4,156
34,8/17/2022,2:15,Afternoon,30,Music,Robin Arzon,2.54,315,11:48,5.1,48.1,162
35,8/16/2022,12:30,Afternoon,30,Music,Olivia Amato,2.38,281,12:27,4.8,39.3,152
36,7/10/2022,2:15,Afternoon,30,Music,Robin Arzon,2.66,298,11:16,5.3,40,157
37,7/1/2022,3:15,Afternoon,30,HIIT,Robin Arzon,2.46,323,12:01,5,50.3,165
38,6/29/2022,7:15,Afternoon,30,HIIT,Robin Arzon,2.08,298,14:19,4.2,43,157
39,6/27/2022,7:15,Afternoon,30,Theme,Robin Arzon,2.4,297,12:28,4.8,42.7,157
40,6/20/2022,6:00,Afternoon,30,Music,Olivia Amato,2.23,278,13:18,4.5,32.6,151
41,6/17/2022,5:45,Afternoon,30,Theme,Robin Arzon,2.29,300,12:52,4.7,41.5,158
42,6/15/2022,7:00,Afternoon,20,Music,Robin Arzon,1.54,194,12:55,4.6,25.4,154